Task ID,Type,ID,Medium,Constraints,Expected value,Description,Category
U001,Metabolite,atp_c,glc__D_e(-10.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,ATP production from glucose (energy metabolism),Energy
U002,Metabolite,nadh_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,NADH production (electron carrier),Energy
U003,Metabolite,nadph_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,NADPH production (biosynthesis cofactor),Energy
U004,Metabolite,g6p_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Glucose-6-phosphate (glycolysis entry),Central Carbon
U005,Metabolite,pyr_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Pyruvate production (central hub),Central Carbon
U006,Metabolite,accoa_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Acetyl-CoA production (TCA entry),Central Carbon
U007,Metabolite,oaa_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Oxaloacetate production (TCA cycle),Central Carbon
U008,Metabolite,akg_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Alpha-ketoglutarate production (amino acid precursor),Central Carbon
U009,Metabolite,succoa_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Succinyl-CoA production (TCA cycle),Central Carbon
U010,Metabolite,r5p_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Ribose-5-phosphate (nucleotide precursor),PPP
U011,Metabolite,e4p_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Erythrose-4-phosphate (aromatic AA precursor),PPP
U012,Metabolite,prpp_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,PRPP (nucleotide and histidine biosynthesis),PPP
U013,Metabolite,glu__L_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,L-Glutamate biosynthesis,Amino Acid
U014,Metabolite,gln__L_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,L-Glutamine biosynthesis,Amino Acid
U015,Metabolite,asp__L_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,L-Aspartate biosynthesis,Amino Acid
U016,Metabolite,ala__L_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,L-Alanine biosynthesis,Amino Acid
U017,Metabolite,gly_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Glycine biosynthesis,Amino Acid
U018,Metabolite,ser__L_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,L-Serine biosynthesis,Amino Acid
U019,Metabolite,pro__L_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,L-Proline biosynthesis,Amino Acid
U020,Metabolite,amp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,AMP biosynthesis (purine),Nucleotide
U021,Metabolite,gmp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,GMP biosynthesis (purine),Nucleotide
